Codigo_Transacao,CPF_Cliente,Nome_Cliente,Data_Transacao,Moeda,Valor_Transacao,Tipo_Transacao,Status_Transacao,Categoria,Banco,Num_Parcelas,Taxa_Servico,Valor_Final
FIN000018,271.717.947-39,Rafael Macedo,2022-06-16,BRL,13134.15,Transferência,Aprovada,Alimentação,XP,12,219.7,13353.85
FIN000573,282.354.547-70,Rafael Macedo,2023-11-05,BRL,6761.3,Depósito,Aprovada,Tecnologia,Banco do Brasil,2,127.4,6888.7
FIN000226,481.320.692-81,Leticia Moura,2022-12-23,BRL,10091.7,Depósito,Aprovada,Vestuário,C6 Bank,6,196.94,10288.64
FIN000917,341.938.246-47,Guilherme Mota,2024-09-15,BRL,10515.28,PIX,Aprovada,Investimento,C6 Bank,1,184.73,10700.01
FIN000300,860.840.617-11,Leticia Moura,2023-03-01,BRL,19270.58,Depósito,Pendente,Tecnologia,BTG,24,539.29,19809.870000000003
FIN000919,476.693.931-46,Guilherme Mota,2024-09-16,BRL,21611.93,PIX,Aprovada,Vestuário,XP,6,322.28,21934.21
FIN000506,939.474.176-87,Camila Rocha,2023-09-05,BRL,82699.974,Depósito,Aprovada,Tecnologia,Inter,6,247.0,82946.974
FIN000568,186.884.435-66,Camila Rocha,2023-11-01,BRL,757.36,PIX,,Tecnologia,BTG,24,10.98,768.34
FIN000391,450.902.496-13,Leticia Moura,2023-05-23,BRL,2358.74,Depósito,Recusada,,XP,2,53.52,2412.26
FIN000750,713.946.108-51,Natalia Correia,2024-04-15,BRL,6347.18,Depósito,Pendente,Tecnologia,C6 Bank,3,63.85,6411.03
FIN000500,656.832.809-88,Beatriz Lopes,2023-08-31,BRL,23816.45,Depósito,Recusada,Alimentação,BTG,6,668.38,24484.83
FIN000679,942.274.891-14,Felipe Andrade,2024-02-10,BRL,6255.9,Depósito,Recusada,Vestuário,XP,24,59.09,6314.99
FIN000713,550.468.552-37,Rafael Macedo,2024-03-12,BRL,269.42,Depósito,Pendente,Alimentação,Banco do Brasil,6,5.92,275.34
FIN000499,714.237.308-11,Thiago Cavalcanti,2023-08-30,BRL,16692.65,Saque,Pendente,Moradia,BTG,12,465.85,17158.5
FIN000636,956.650.887-78,Henrique Pinto,2024-01-02,BRL,9978.05,Depósito,Recusada,Alimentação,XP,3,225.81,10203.86
FIN000019,781.416.955-78,Henrique Pinto,2022-06-17,BRL,2385.65,Depósito,Aprovada,Tecnologia,Inter,6,25.54,2411.19
FIN000965,469.530.260-35,Priscila Gomes,2024-10-29,BRL,72198.39,Saque,Recusada,Vestuário,C6 Bank,1,270.26,72468.65
FIN000035,422.344.163-41,Juliana Queiroz,2022-07-02,BRL,5914.34,Pagamento,Recusada,Viagem,Banco do Brasil,1,229.26331653225807,5947.69
FIN000918,493.842.956-53,Rafael Macedo,2024-09-16,BRL,3671.03,Transferência,Aprovada,Investimento,C6 Bank,12,55.08,3726.11
FIN000033,161.240.394-93,Leonardo Braga,2022-06-30,BRL,11942.57,Depósito,Pendente,Viagem,Inter,1,318.38,12260.95
FIN000054,494.713.148-64,Thiago Cavalcanti,2022-07-19,BRL,22890.79,Depósito,Pendente,Investimento,Banco do Brasil,2,484.05,23374.84
FIN000215,177.723.794-87,Carolina Azevedo,2022-12-13,BRL,3880.94,Depósito,Pendente,Vestuário,Inter,24,76.86,3957.8
FIN000044,631.138.832-37,Isabela Nunes,2022-07-10,BRL,65634.9,Depósito,Pendente,Vestuário,C6 Bank,12,212.61,65847.51
FIN000640,848.713.307-98,Andre Monteiro,2024-01-05,BRL,17229.13,Saque,,Viagem,BTG,12,295.92,17525.05
FIN000775,945.217.695-81,Rafael Macedo,2024-05-08,BRL,17556.35,Depósito,Recusada,Alimentação,C6 Bank,1,227.14,17783.49
FIN000237,697.656.801-87,Priscila Gomes,2023-01-02,BRL,12409.2,Depósito,Aprovada,Alimentação,Inter,1,95.96,12505.16
FIN000897,503.952.794-48,Andre Monteiro,2024-08-27,BRL,15557.55,Depósito,Recusada,Viagem,Banco do Brasil,24,351.09,15908.64
FIN000465,873.207.742-96,Camila Rocha,,BRL,5589.45,Depósito,Recusada,Vestuário,Banco do Brasil,3,108.03,5697.48
FIN000999,274.606.792-93,Beatriz Lopes,2024-11-29,BRL,20008.5,Pagamento,Recusada,Alimentação,Inter,3,239.56,20248.06
FIN000972,177.532.198-94,Rafael Macedo,,BRL,18240.07,Saque,Recusada,Moradia,Inter,6,340.18,18580.25
FIN000079,995.640.228-77,Felipe Andrade,2022-08-11,BRL,3870.31,Depósito,Recusada,Alimentação,XP,1,20.12,3890.43
FIN000306,544.640.522-76,Thiago Cavalcanti,2023-03-06,BRL,6161.26,Saque,Aprovada,Vestuário,C6 Bank,6,90.3,6251.56
FIN000613,987.359.333-30,Leticia Moura,2023-12-12,BRL,14571.54,Depósito,Recusada,Alimentação,XP,24,272.02,14843.56
FIN000043,557.332.870-46,Andre Monteiro,,BRL,13145.68,PIX,Recusada,Moradia,Inter,12,133.95,13279.63
FIN000934,561.204.705-74,Thiago Cavalcanti,2024-09-30,BRL,17548.47,Saque,Aprovada,Viagem,C6 Bank,2,154.42,17702.89
FIN000016,703.447.790-44,Leonardo Braga,2022-06-14,BRL,9916.58,Depósito,Aprovada,Tecnologia,BTG,2,191.66,10108.24
FIN000575,728.297.374-80,Rafael Macedo,,BRL,9439.17,Saque,Pendente,Investimento,C6 Bank,6,119.97,9559.14
FIN000028,486.375.609-32,Carolina Azevedo,2022-06-25,BRL,2424.78,Pagamento,Recusada,Tecnologia,Banco do Brasil,24,63.61,2488.39
FIN000301,231.672.258-63,Andre Monteiro,2023-03-02,BRL,8058.0,Saque,Pendente,Alimentação,XP,24,100.72,8158.72
FIN000358,879.539.570-36,Thiago Cavalcanti,2023-04-23,BRL,13861.29,Saque,Aprovada,Tecnologia,XP,3,327.05,14188.34
FIN000530,328.947.359-16,Rodrigo Farias,2023-09-27,BRL,21407.49,Saque,Aprovada,Tecnologia,Inter,24,390.68,21798.17
FIN000026,271.962.766-10,Priscila Gomes,2022-06-23,BRL,5578.36,PIX,Pendente,Vestuário,Inter,12,46.46,5624.82
FIN000417,793.971.361-85,Thiago Cavalcanti,2023-06-16,BRL,1511.68,Saque,Pendente,Vestuário,BTG,24,39.58,1551.26
FIN000570,143.775.948-69,Carolina Azevedo,2023-11-03,BRL,219.5,Pagamento,Aprovada,Investimento,XP,6,5.73,225.23
FIN000975,485.559.252-67,Beatriz Lopes,,BRL,13502.94,Saque,Pendente,Investimento,C6 Bank,3,320.01,13822.95
FIN000031,772.163.258-14,Vanessa Coelho,,BRL,72198.39,Depósito,Recusada,Moradia,C6 Bank,12,86.92,72285.31
FIN000822,333.659.676-86,Andre Monteiro,2024-06-20,BRL,18389.32,Depósito,Pendente,Investimento,C6 Bank,2,470.84,18860.16
FIN000986,482.799.203-96,Leticia Moura,2024-11-17,BRL,82699.974,Saque,Aprovada,Tecnologia,Inter,1,18.75,82718.724
FIN000859,725.925.558-95,Leonardo Braga,2024-07-24,BRL,20435.62,Depósito,Pendente,Viagem,Inter,20,115.63,20551.25
FIN000495,979.141.162-16,Leticia Moura,2023-08-26,BRL,1249.77,Depósito,Pendente,Viagem,Inter,24,12.01,1261.78
FIN000479,782.599.745-78,Beatriz Lopes,2023-08-11,BRL,13794.83,Depósito,Pendente,Alimentação,BTG,6,170.08,13964.91
FIN000772,784.838.970-76,Natalia Correia,,BRL,16317.76,PIX,Aprovada,Investimento,C6 Bank,3,467.74,16785.5
FIN000267,485.946.416-86,Carolina Azevedo,2023-01-30,BRL,5781.95,Depósito,Recusada,Moradia,XP,12,112.55,5894.5
FIN000135,790.323.195-66,Diego Peixoto,2022-10-01,BRL,1968.38,Pagamento,Aprovada,Tecnologia,XP,3,24.31,1992.69
FIN000106,859.598.103-88,Leonardo Braga,2022-09-04,BRL,2710.25,PIX,Recusada,Tecnologia,C6 Bank,12,70.73,2780.98
FIN000008,448.290.824-96,Leticia Moura,2022-06-07,BRL,1215.06,Depósito,Recusada,Investimento,XP,1,34.87,1249.93
FIN000855,705.123.959-38,Rafael Macedo,2024-07-20,BRL,10620.38,Saque,Recusada,Alimentação,C6 Bank,3,155.94,10776.32
FIN000126,700.542.703-87,Marcelo Teixeira,2022-09-23,BRL,13893.86,PIX,Pendente,Vestuário,Banco do Brasil,6,375.88,14269.74
FIN000344,452.983.162-53,Diego Peixoto,2023-04-10,BRL,18239.91,Depósito,Aprovada,Investimento,Banco do Brasil,12,229.26331653225807,18478.56
FIN000284,214.155.501-44,Leonardo Braga,2023-02-14,BRL,20799.33,PIX,Recusada,Viagem,Banco do Brasil,6,414.3,21213.63
FIN000373,565.220.558-84,Rafael Macedo,2023-05-06,BRL,13126.98,Pagamento,Aprovada,Viagem,XP,24,319.08,18534.79
FIN000837,720.329.649-95,Diego Peixoto,,BRL,7750.62,Depósito,Recusada,Moradia,Inter,12,154.39,7905.01
FIN000376,994.234.815-94,Thiago Cavalcanti,2023-05-09,BRL,9456.09,Saque,Pendente,Vestuário,Inter,24,223.53,9679.62
FIN000892,747.291.229-20,Leticia Moura,,BRL,65634.9,Pagamento,Aprovada,Viagem,Banco do Brasil,2,50.06,65684.95999999999
FIN000200,935.907.559-25,Henrique Pinto,2022-11-29,BRL,9092.42,Depósito,Aprovada,Tecnologia,Banco do Brasil,12,171.42,9263.84
FIN000579,982.618.831-52,Camila Rocha,2023-11-11,BRL,755.12,PIX,Recusada,Tecnologia,XP,3,7.76,762.88
FIN000120,929.208.185-18,Juliana Queiroz,2022-09-17,BRL,5056.45,Depósito,Pendente,Vestuário,Inter,20,135.76,5192.21
FIN000503,436.466.454-70,Henrique Pinto,,BRL,22168.51,Depósito,Aprovada,Vestuário,C6 Bank,12,187.73,22356.24
FIN000823,103.590.408-92,Priscila Gomes,2024-06-21,BRL,22217.75,Depósito,Pendente,Viagem,C6 Bank,6,600.39,22818.14
FIN000212,353.859.961-84,Diego Peixoto,2022-12-10,BRL,11573.52,PIX,Recusada,Alimentação,BTG,2,276.65,11850.17
FIN000698,260.702.143-50,Thiago Cavalcanti,2024-02-27,BRL,13126.98,Depósito,Aprovada,Alimentação,XP,3,252.91,25236.07
FIN000988,903.562.911-21,Natalia Correia,2024-11-19,BRL,17293.22,Transferência,Aprovada,Investimento,C6 Bank,24,487.89,17781.11
FIN000835,864.192.145-36,Leonardo Braga,2024-07-02,BRL,12138.42,Saque,Aprovada,Alimentação,XP,24,167.7,12306.12
FIN000958,522.717.239-42,Andre Monteiro,2024-10-22,BRL,21098.22,Pagamento,Recusada,Viagem,C6 Bank,3,343.05,21441.27
FIN000682,948.831.397-52,Leonardo Braga,2024-02-13,BRL,4000.42,Depósito,Recusada,Investimento,Inter,24,85.01,4085.43
FIN000320,827.292.596-54,Rodrigo Farias,2023-03-19,BRL,1917.13,Saque,Recusada,Viagem,Banco do Brasil,1,28.3,1945.43
FIN000873,126.998.427-90,Amanda Vieira,2024-08-05,BRL,13110.84,Depósito,,Alimentação,XP,24,210.42,13321.26
FIN000259,428.561.724-65,Natalia Correia,2023-01-22,BRL,17652.11,PIX,,Viagem,Inter,1,141.81,17793.92
FIN000272,161.906.595-10,Amanda Vieira,2023-02-03,BRL,7356.26,Pagamento,Pendente,Vestuário,Inter,24,87.86,7444.12
FIN000884,585.223.879-22,Priscila Gomes,2024-08-15,BRL,14635.88,Depósito,Aprovada,Investimento,XP,1,358.73,14994.61
FIN000102,947.124.913-75,Leticia Moura,2022-09-01,BRL,13126.98,Pagamento,Aprovada,Moradia,C6 Bank,24,225.45,19994.23
FIN000513,747.244.954-97,Rafael Macedo,2023-09-11,BRL,4994.91,Depósito,Pendente,Moradia,Banco do Brasil,12,109.39,5104.3
FIN000501,173.328.813-63,Guilherme Mota,2023-08-31,BRL,14189.27,Pagamento,Recusada,Vestuário,BTG,1,390.23,14579.5
FIN000979,595.472.774-50,Rafael Macedo,,BRL,3357.68,Depósito,Pendente,Viagem,BTG,12,90.51,3448.19
FIN000533,138.197.980-33,Henrique Pinto,2023-09-30,BRL,11874.45,Depósito,Pendente,Vestuário,Banco do Brasil,1,328.37,12202.82
FIN000949,217.603.731-90,Priscila Gomes,2024-10-14,BRL,18623.5,PIX,Pendente,Vestuário,,12,249.92,18873.42
FIN000829,857.784.775-11,Felipe Andrade,2024-06-26,BRL,21742.48,Depósito,Pendente,Moradia,BTG,2,164.36,21906.84
FIN000387,900.152.921-77,Camila Rocha,2023-05-19,BRL,13307.52,Pagamento,Recusada,Vestuário,,1,385.29,13692.81
FIN000681,908.681.134-35,Natalia Correia,2024-02-12,BRL,5448.25,Depósito,Pendente,Viagem,Inter,1,154.07,5602.32
FIN000877,273.602.205-46,Thiago Cavalcanti,2024-08-09,BRL,11378.17,Pagamento,Recusada,Moradia,C6 Bank,6,238.42,11616.59
FIN000175,450.633.545-58,Beatriz Lopes,2022-11-07,BRL,6096.55,Depósito,Aprovada,Investimento,Inter,12,76.29,6172.84
FIN000516,181.398.507-73,Andre Monteiro,2023-09-14,BRL,16805.11,PIX,Aprovada,,Inter,3,159.5,16964.61
FIN000954,329.722.591-81,Leonardo Braga,2024-10-18,BRL,16692.19,Saque,Recusada,Tecnologia,XP,2,401.16,17093.35
FIN000333,171.964.484-36,Thiago Cavalcanti,,BRL,10634.7,Pagamento,Aprovada,Moradia,XP,1,73.07,10707.77
FIN000379,592.108.629-33,Felipe Andrade,,BRL,21197.42,Saque,Aprovada,Moradia,C6 Bank,24,128.53,21325.95
FIN000836,849.887.776-88,Leticia Moura,2024-07-03,BRL,24699.54,Saque,Pendente,Moradia,XP,12,286.51,24986.05
FIN000517,818.907.205-95,Natalia Correia,2023-09-15,BRL,23446.57,Depósito,Aprovada,Investimento,Banco do Brasil,1,626.0,24072.57
FIN000807,245.239.796-71,Camila Rocha,,BRL,3711.25,Depósito,Recusada,Viagem,XP,1,87.04,3798.29
FIN000374,725.961.889-48,Vanessa Coelho,2023-05-07,BRL,18030.47,Pagamento,Aprovada,Viagem,Banco do Brasil,2,203.16,18233.63
FIN000731,130.805.238-77,Thiago Cavalcanti,2024-03-29,BRL,7740.11,Depósito,Aprovada,Moradia,Inter,6,70.71,7810.82
FIN000660,697.744.345-80,Diego Peixoto,2024-01-24,BRL,15826.91,Saque,Aprovada,Tecnologia,BTG,24,317.75,16144.66
FIN000371,139.959.368-28,Diego Peixoto,2023-05-05,BRL,14030.49,Depósito,Recusada,Tecnologia,C6 Bank,6,195.63,14226.12
FIN000370,174.460.370-18,Camila Rocha,2023-05-04,BRL,11660.09,PIX,Recusada,Viagem,C6 Bank,12,303.24,11963.33
FIN000186,Não informado,Andre Monteiro,2022-11-17,BRL,1008.19,PIX,Pendente,Investimento,Inter,6,27.26,1035.45
FIN000467,311.570.516-98,Vanessa Coelho,2023-07-31,BRL,10867.99,PIX,Recusada,Tecnologia,BTG,24,304.68,11172.67
FIN000832,846.410.928-44,Carolina Azevedo,2024-06-29,BRL,23279.91,PIX,Recusada,Investimento,Inter,2,381.98,23661.89
FIN000711,334.821.348-38,Leticia Moura,2024-03-10,BRL,22969.23,Depósito,,Tecnologia,XP,1,551.03,23520.26
FIN000540,473.748.753-88,Camila Rocha,,BRL,11227.52,Depósito,Aprovada,Viagem,XP,24,94.68,11322.2
FIN000675,390.108.622-69,Diego Peixoto,2024-02-06,BRL,21817.06,Depósito,Recusada,Tecnologia,XP,1,638.46,22455.52
FIN001000,861.780.844-66,Vanessa Coelho,2024-11-30,BRL,11585.07,Depósito,Aprovada,Tecnologia,Inter,2,322.15,11907.22
FIN000955,853.753.984-73,Henrique Pinto,,BRL,12374.87,Depósito,Recusada,Moradia,C6 Bank,12,170.77,12545.64
FIN000921,202.505.377-32,Isabela Nunes,,BRL,82699.974,Pagamento,Aprovada,Tecnologia,Inter,3,652.35,83352.32400000001
FIN000548,684.326.169-43,Leonardo Braga,2023-10-13,BRL,24651.47,Pagamento,Recusada,Investimento,C6 Bank,6,285.37,24936.84
FIN000793,631.971.821-50,Vanessa Coelho,2024-05-24,BRL,3353.41,Pagamento,Recusada,Viagem,C6 Bank,24,68.03,3421.44
FIN000704,851.844.953-66,Andre Monteiro,2024-03-04,BRL,13126.98,PIX,Aprovada,Moradia,C6 Bank,1,296.06,23530.29
FIN000789,205.320.198-32,Isabela Nunes,2024-05-21,BRL,12747.07,Depósito,Aprovada,Alimentação,C6 Bank,6,167.45,12914.52
FIN000561,551.341.409-15,Carolina Azevedo,2023-10-25,BRL,65634.9,PIX,Aprovada,Alimentação,Banco do Brasil,24,32.83,65667.73
FIN000752,140.944.586-70,Camila Rocha,,BRL,6973.61,Depósito,Pendente,Vestuário,BTG,6,158.51,7132.12
FIN000777,250.902.835-39,Andre Monteiro,,BRL,12267.97,Depósito,Recusada,,BTG,3,122.28,12390.25
FIN000683,293.187.413-50,Andre Monteiro,2024-02-14,BRL,21169.83,PIX,Recusada,Moradia,Banco do Brasil,1,129.04,21298.87
FIN000136,704.984.741-62,Guilherme Mota,,BRL,5335.85,Pagamento,Pendente,Moradia,BTG,24,59.63,5395.48
FIN000677,249.555.450-12,Amanda Vieira,2024-02-08,BRL,23968.03,PIX,Recusada,Tecnologia,XP,3,676.79,24644.82
FIN000369,513.213.917-49,Leticia Moura,2023-05-03,BRL,23825.97,Saque,Pendente,,C6 Bank,1,666.12,24492.09
FIN000872,521.906.825-51,Natalia Correia,,BRL,82699.974,Saque,Aprovada,Tecnologia,C6 Bank,12,100.13,82800.104
FIN000248,475.446.371-24,Priscila Gomes,2023-01-12,BRL,13126.98,Pagamento,Pendente,Vestuário,Banco do Brasil,12,292.72,13419.699999999999
FIN000357,945.972.482-15,Marcelo Teixeira,2023-04-22,BRL,13164.58,Depósito,Aprovada,Alimentação,BTG,3,107.55,13272.13
FIN000936,906.469.658-37,Rafael Macedo,2024-10-02,BRL,13818.81,PIX,Pendente,Viagem,Banco do Brasil,3,209.1,14027.91
FIN000615,965.447.495-58,Henrique Pinto,2023-12-14,BRL,8701.47,Pagamento,Pendente,Investimento,Banco do Brasil,12,203.43,8904.9
FIN000599,920.956.612-92,Isabela Nunes,2023-11-29,BRL,12834.93,Pagamento,Recusada,Investimento,Banco do Brasil,1,189.49,13024.42
FIN000111,864.349.823-46,Thiago Cavalcanti,2022-09-09,BRL,11895.33,Depósito,Pendente,Alimentação,Banco do Brasil,24,335.83,12231.16
FIN000577,753.488.616-62,Carolina Azevedo,2023-11-09,BRL,5501.04,PIX,Pendente,Vestuário,XP,6,70.64,5571.68
FIN000735,682.364.964-28,Leonardo Braga,2024-04-01,BRL,17027.54,Depósito,Pendente,Viagem,XP,2,93.5,17121.04
FIN000801,356.405.284-71,Marcelo Teixeira Teixeira,2024-06-01,BRL,82699.974,Pagamento,Aprovada,Investimento,XP,12,26.91,82726.884
FIN000825,324.913.617-91,Henrique Pinto,2024-06-23,BRL,21551.76,PIX,Aprovada,Moradia,C6 Bank,2,396.31,21948.07
FIN000663,309.276.222-30,Leticia Moura,,BRL,12977.23,Depósito,Aprovada,Tecnologia,BTG,1,221.98,13199.21
FIN000147,352.583.402-68,Rafael Macedo,,BRL,3886.68,Depósito,Pendente,Investimento,C6 Bank,1,72.64,3959.32
FIN000398,819.989.750-71,Rafael Macedo,2023-05-29,BRL,4814.04,Saque,Aprovada,Investimento,XP,2,60.69,4874.73
FIN000861,120.255.649-61,Andre Monteiro,2024-07-25,BRL,164.23,Pagamento,Aprovada,Alimentação,BTG,12,3.87,168.1
FIN000973,935.632.889-94,Amanda Vieira,2024-11-05,BRL,13126.98,Pagamento,Aprovada,Moradia,Inter,12,113.78,13240.76
FIN000327,368.759.882-12,Rodrigo Farias,,BRL,4430.98,Depósito,Pendente,Alimentação,C6 Bank,24,80.17,4511.15
FIN000490,165.555.711-88,Marcelo Teixeira,2023-08-21,BRL,7964.1,Depósito,Aprovada,Viagem,BTG,12,187.89,8151.99
FIN000141,959.865.774-55,Guilherme Mota,,BRL,17059.88,Depósito,Recusada,Moradia,C6 Bank,12,244.81,17304.69
FIN000959,634.520.842-32,Priscila,2024-10-23,BRL,3070.77,Depósito,Pendente,Moradia,Banco do Brasil,24,75.88,3146.65
FIN000474,153.595.671-44,Juliana Queiroz,2023-08-07,BRL,72198.39,Pagamento,Pendente,Viagem,Banco do Brasil,24,118.65,72317.04
FIN000367,134.778.864-82,Guilherme Mota,,BRL,8364.35,Depósito,Recusada,Vestuário,Banco do Brasil,24,95.31,8459.66
FIN000795,831.328.740-50,Leticia Moura,2024-05-26,BRL,24764.59,Saque,Recusada,Moradia,C6 Bank,6,254.28,25018.87
FIN000347,591.714.778-62,Camila Rocha,2023-04-13,BRL,18064.68,Depósito,Recusada,Vestuário,Inter,3,156.17,18220.85
FIN000027,990.449.421-34,Thiago Cavalcanti,2022-06-24,BRL,16138.63,Pagamento,Pendente,Investimento,BTG,3,300.86,16439.49
FIN000156,297.787.375-83,Natalia Correia,2022-10-20,BRL,20495.45,Depósito,Pendente,Tecnologia,C6 Bank,3,528.45,21023.9
FIN000946,386.989.263-63,Marcelo Teixeira,,BRL,9257.94,Depósito,Pendente,Vestuário,C6 Bank,1,190.73,9448.67
FIN000937,344.390.454-32,Henrique Pinto,2024-10-03,BRL,24780.11,Depósito,Pendente,Vestuário,C6 Bank,1,171.45,24951.56
FIN000702,464.622.982-52,Thiago Cavalcanti Cavalcanti,2024-03-02,BRL,0.01,Depósito,Pendente,Investimento,C6 Bank,3,363.79,22018.22
FIN000769,722.243.248-73,Andre Monteiro,2024-05-02,BRL,4061.46,Depósito,Aprovada,Investimento,XP,3,46.59,4108.05
FIN000626,380.335.776-57,Diego Peixoto,2023-12-24,BRL,16864.84,PIX,Aprovada,Vestuário,BTG,12,125.93,16990.77
FIN000426,240.298.998-28,Thiago Cavalcanti,2023-06-24,BRL,22390.93,Depósito,Pendente,Moradia,C6 Bank,30,485.11,22876.04
FIN000968,427.864.169-54,Marcelo Teixeira Teixeira,2024-10-31,BRL,17563.52,PIX,Recusada,Moradia,BTG,24,473.08,18036.6
FIN000987,379.194.308-85,Guilherme Mota,2024-11-18,BRL,17612.4,Transferência,Aprovada,Vestuário,Banco do Brasil,6,184.27,17796.67
FIN000100,966.686.720-33,Thiago Cavalcanti,2022-08-30,BRL,16221.56,Depósito,Recusada,Moradia,Inter,3,227.37,16448.93
FIN000349,984.684.295-48,Andre Monteiro Monteiro,,BRL,14708.06,PIX,Aprovada,Alimentação,BTG,6,103.45,14811.51
FIN000422,580.336.525-80,Rodrigo Farias,2023-06-20,BRL,18133.74,Depósito,Aprovada,Tecnologia,BTG,1,288.79,18422.53
FIN000876,903.814.711-70,Juliana Queiroz,,BRL,9573.8,Depósito,Recusada,Tecnologia,XP,12,58.06,9631.86
FIN000167,246.121.363-45,Beatriz Lopes,2022-10-30,BRL,12534.98,Pagamento,Pendente,Moradia,Inter,24,102.63,12637.61
FIN000345,178.257.629-41,Thiago Cavalcanti,2023-04-11,BRL,16679.55,PIX,Pendente,Moradia,Inter,2,346.67,17026.22
FIN000629,507.518.878-72,Amanda Vieira,,BRL,19258.95,Depósito,Pendente,Alimentação,XP,3,229.26331653225807,19784.65
FIN000024,155.957.235-80,Beatriz Lopes,2022-06-22,BRL,20412.75,Pagamento,Pendente,Tecnologia,Inter,24,290.27,20703.02
FIN000587,119.803.639-37,Diego,2023-11-18,BRL,2013.55,PIX,Aprovada,Vestuário,C6 Bank,12,41.27,2054.82
FIN000205,915.685.447-83,Rodrigo Farias,2022-12-04,BRL,16982.39,Saque,Pendente,Vestuário,BTG,1,331.41,17313.8
FIN000034,462.692.365-41,Amanda Vieira,2022-07-01,BRL,1986.47,PIX,Recusada,Viagem,Inter,3,48.43,2034.9
FIN000198,820.556.280-35,Andre Monteiro,2022-11-28,BRL,11543.65,Saque,Recusada,Tecnologia,XP,3,96.57,11640.22
FIN000758,208.555.916-87,Carolina Azevedo,2024-04-22,BRL,18901.07,Depósito,,Viagem,XP,12,121.59,19022.66
FIN000874,841.324.840-48,Juliana Queiroz,,BRL,82699.974,Depósito,Aprovada,Investimento,C6 Bank,2,145.87,82845.844
FIN000406,846.635.483-94,Thiago Cavalcanti,2023-06-06,BRL,4091.07,Depósito,Aprovada,Tecnologia,BTG,3,102.57,4193.64
FIN000676,209.387.834-47,Juliana Queiroz,2024-02-07,BRL,17118.28,Depósito,Recusada,Moradia,Inter,12,202.79,17321.07
FIN000098,736.649.378-81,Diego Peixoto,,BRL,8905.03,Pagamento,Aprovada,Vestuário,BTG,1,218.12,9123.150000000001
FIN000562,697.370.286-94,Natalia Correia,,BRL,2519.76,Depósito,Pendente,Tecnologia,C6 Bank,12,66.74,2586.5
FIN000010,906.760.591-92,Natalia Correia,2022-06-09,BRL,220.3,PIX,,Tecnologia,Banco do Brasil,12,6.23,226.53
FIN000011,606.114.580-13,Juliana Queiroz,,BRL,82699.974,PIX,Aprovada,Vestuário,Inter,24,196.3,82896.274
FIN000080,699.529.878-94,Beatriz Lopes,2022-08-12,BRL,11777.21,Depósito,Aprovada,Tecnologia,Banco do Brasil,1,311.86,12089.07
FIN000729,599.121.505-16,Rafael Macedo,2024-03-27,BRL,24216.16,Pagamento,Recusada,Vestuário,XP,1,701.63,24917.79
FIN000385,198.368.561-83,Rodrigo Farias,2023-05-17,BRL,7229.69,PIX,Aprovada,Vestuário,XP,2,74.32,7304.01
FIN000119,314.682.537-48,Beatriz Lopes,2022-09-16,BRL,13126.98,Depósito,Recusada,Investimento,XP,3,64.69,13191.67
FIN000887,785.805.459-18,Leonardo Braga,2024-08-18,BRL,6850.84,PIX,Recusada,Vestuário,Banco do Brasil,1,174.56,7025.4
FIN000235,572.708.571-39,Beatriz Lopes,2022-12-31,BRL,21237.78,Depósito,Pendente,Alimentação,C6 Bank,1,251.2,21488.98
FIN000553,788.933.550-94,Guilherme Mota,,BRL,4435.32,Transferência,Recusada,Investimento,Banco do Brasil,2,96.0,4531.32
FIN000819,114.488.368-13,Rafael Macedo,2024-06-17,BRL,9466.06,Pagamento,Aprovada,Vestuário,Banco do Brasil,1,193.51,9659.57
FIN000290,498.900.158-17,Andre Monteiro,2023-02-20,BRL,13653.3,Depósito,Pendente,Investimento,C6 Bank,1,349.78,14003.08
FIN000217,286.329.653-82,Diego Peixoto,,BRL,23830.47,Saque,Recusada,Viagem,XP,2,621.12,24451.59
FIN000050,354.189.226-19,Felipe Andrade,2022-07-15,BRL,6639.07,PIX,Pendente,Viagem,BTG,3,158.6,6797.67
FIN000537,510.772.140-88,Priscila Gomes,2023-10-03,BRL,13384.1,PIX,Pendente,Vestuário,XP,24,107.98,13492.08
FIN000466,832.264.496-23,Carolina Azevedo,2023-07-30,BRL,13126.98,Pagamento,Pendente,Moradia,C6 Bank,3,109.15,13236.13
FIN000952,212.939.624-37,Priscila Gomes,2024-10-17,BRL,14081.11,PIX,Recusada,Alimentação,Banco do Brasil,1,331.84,14412.95
FIN000690,708.462.701-31,Amanda Vieira,2024-02-20,BRL,19799.73,Depósito,Recusada,Alimentação,XP,1,222.45,20022.18
FIN000649,190.291.810-45,Camila Rocha,2024-01-14,BRL,17018.73,Saque,Recusada,Investimento,C6 Bank,24,227.83,17246.56
FIN000145,110.422.649-51,Isabela Nunes,2022-10-10,BRL,23691.49,Depósito,Recusada,Moradia,XP,6,310.94,24002.43
FIN000821,338.281.859-64,Leticia Moura,2024-06-19,BRL,10338.62,Pagamento,Pendente,Viagem,XP,2,85.76,10424.38
FIN000727,540.566.935-53,Felipe Andrade,2024-03-25,BRL,21545.62,Depósito,Pendente,Tecnologia,C6 Bank,24,135.83,21681.45
FIN000830,275.722.628-79,Felipe Andrade,2024-06-27,BRL,24528.19,Depósito,Pendente,Viagem,Banco do Brasil,6,479.73,25007.92
